Season,TeamName,Tempo,RankTempo,AdjTempo,RankAdjTempo,OE,RankOE,AdjOE,RankAdjOE,DE,RankDE,AdjDE,RankAdjDE,AdjEM,RankAdjEM,seed
2024,Baylor,66.8428,270,65.6019,281,117.262,15,122.491,6,104.166,157,100.186,64,22.305,14,3
2024,Bellarmine,66.4824,285,64.7776,317,100.636,272,100.398,279,114.394,351,113.248,325,-12.8493,315,
2024,Belmont,71.9026,35,71.1659,29,107.452,129,109.358,112,105.414,191,104.016,130,5.34145,113,
2024,Bethune Cookman,70.6643,61,69.4474,72,98.1113,308,97.4354,317,102.45,109,109.257,242,-11.8215,308,
2024,Binghamton,68.0898,203,66.1859,255,101.542,258,102.519,247,107.362,244,111.372,286,-8.85242,283,
2024,Boise St.,66.5812,278,66.7868,223,111.112,59,114.005,52,100.858,73,97.6233,29,16.3813,39,10
2024,Boston College,68.0049,211,67.0489,203,108.886,107,113.209,67,105.308,188,102.723,109,10.4859,75,
2024,Boston University,65.6953,320,65.7273,274,99.0878,295,98.367,309,100.921,77,108.674,227,-10.3067,295,
2024,Bowling Green,68.4284,179,67.4836,166,104.221,203,102.435,248,103.44,132,107.894,211,-5.45835,241,
2024,Bradley,66.9787,267,66.1986,254,110.411,76,112.428,74,99.9078,52,99.9897,59,12.4378,64,
2024,Brown,67.6376,229,67.1425,198,102.79,233,104.402,216,105.751,202,106.635,181,-2.23263,185,
2024,Bryant,75.3787,2,74.0682,3,99.4465,291,101.111,269,98.7481,34,101.892,96,-0.780761,173,
2024,Bucknell,64.1487,352,64.7321,319,100.803,270,100.353,280,103.737,143,108.609,225,-8.25625,275,
2024,Buffalo,70.1324,83,69.0213,87,95.6487,332,95.4215,337,113.129,341,114.971,345,-19.5499,347,
2024,Butler,69.3391,121,68.3503,121,107.857,121,113.049,71,104.33,163,100.797,73,12.2518,67,
2024,BYU,70.0246,90,69.0567,85,116.926,16,120.487,11,99.9495,53,99.478,48,21.0093,16,6
2024,Cal Baptist,65.2943,332,63.5153,346,102.026,248,102.888,242,102.2,101,105.941,172,-3.0532,201,
2024,Cal Poly,66.5123,281,65.7852,271,93.7635,348,94.6773,342,110.692,307,112.246,308,-17.5689,338,
2024,Cal St. Bakersfield,65.7488,317,64.724,320,100.817,269,101.211,265,105.784,204,107.079,196,-5.86876,246,
2024,Cal St. Fullerton,67.2869,255,66.3316,249,98.5792,303,100.217,282,103.967,146,105.366,157,-5.14863,233,
